puissance tot,puissance tot moy,ram used,gpu temp,cpu temp,board temp,perf
16737,16784,25.0,45.5,50.375,39.0,0
17234,17009,25.0,45.406,49.968,39.0,0
16139,16574,25.0,45.468,50.062,39.0,0
16131,16351,25.0,45.125,50.156,39.0,0
16737,16543,25.0,45.937,49.906,39.0,0
16737,16639,25.0,45.25,50.062,39.0,0
16737,16687,25.0,45.531,50.218,39.0,0
16737,16711,25.0,45.375,49.906,39.0,0
17036,16873,25.0,45.656,50.125,39.0,0
17334,17103,25.0,45.468,50.156,39.0,0
16837,16968,25.0,45.5,50.156,39.0,0
16836,16901,25.0,45.937,50.0,39.0,0
17434,17167,25.0,46.312,49.968,39.0,0
16239,16701,25.0,45.093,50.218,39.0,0
16737,16718,25.0,45.593,49.937,39.0,0
12948,14833,25.0,44.937,49.781,39.0,0
9164,11998,25.0,44.625,49.5,39.0,0
